"STCD"	"SZRQY"	"SZRQM"	"ZLGL_JBZ"	"ZLGL_ZXHL"	"ZLGL_SHZH"	"ZLGL_QT"	"CZSX_HDZ"	"CZSX_SKZ"	"CZSX_HPZ"	"CZSX_CWZ"	"CZSX_QDZ"	"CZSX_QTZ"	"PBSQ"
"60109170"	"1954"	"7"				"1"			"1"				"1"
"60109180"	"1954"	"7"				"1"			"1"				"1"
"60109190"	"1954"	"7"				"1"			"1"				"1"
"60109400"	"1951"	"3"	"1"				"1"						"1"
"60110100"	"1947"	"11"	"1"				"1"						"1"
"60110200"	"1954"	"7"				"1"			"1"				"1"
"60110210"	"1954"	"7"				"1"			"1"				"1"
"60110220"	"1954"	"7"				"1"			"1"				"1"
"60110230"	"1954"	"7"				"1"			"1"				"1"
"60110960"	"2005"	"1"	"1"				"1"						"1"
"60111200"	"1936"	"5"	"1"				"1"						"1"
"60111305"	"2002"	"1"				"1"	"1"						
"60111700"	"1986"	"1"	"1"				"1"						"1"
"60112195"	"2015"	"1"				"1"	"1"						
"60112205"	"2015"	"1"				"1"	"1"						
"60112900"	"1934"	"5"	"1"				"1"						"1"
"60113205"	"2006"	"7"	"1"				"1"						"1"
"60113900"	"1936"	"3"	"1"				"1"						"1"
"60114700"	"1924"	"2"	"1"				"1"						"1"
"60116800"	"2004"	"7"	"1"							"1"			
"60117500"	"2004"	"7"	"1"							"1"			
"60117520"	"1984"	"7"	"1"							"1"			"1"
"60117540"	"1987"	"7"	"1"							"1"			
"60117560"	"1988"	"1"	"1"							"1"			
"60117830"	"2009"	"9"	"1"							"1"			
"60117840"	"1987"	"1"	"1"							"1"			
"60151515"	"1954"	"7"				"1"			"1"				"1"
"60510500"	"2011"	"4"				"1"		"1"					
"60511250"	"2011"	"4"				"1"		"1"					
"60511290"	"2011"	"4"				"1"		"1"					
"60511350"	"2010"	"3"				"1"	"1"						
"60511610"	"2002"	"10"				"1"	"1"						
"60512500"	"2002"	"10"				"1"	"1"						
"60512850"	"2002"	"9"				"1"		"1"					
"60512900"	"2002"	"9"				"1"		"1"					
"60513300"	"2002"	"9"				"1"		"1"					
"60513500"	"2002"	"10"				"1"		"1"					
"60513900"	"1953"	"7"	"1"					"1"					"1"
"60513910"	"2002"	"10"				"1"		"1"					
"60514070"	"2002"	"10"				"1"		"1"					
"60514310"	"2002"	"1"				"1"	"1"						
"60514390"	"2002"	"1"				"1"	"1"						
"60519030"	"1993"	"3"				"1"		"1"					
"60703700"	"2010"	"3"				"1"	"1"						
"60703800"	"1995"	"12"				"1"	"1"						
"60704000"	"1996"	"5"				"1"	"1"						
"60704010"	"1997"	"4"				"1"	"1"						
"60803005"	"2008"	"3"				"1"	"1"						
"60803006"	"2008"	"3"				"1"	"1"						
"60803010"	"2007"	"7"				"1"	"1"						
"60803011"	"2007"	"7"				"1"	"1"						
"60803050"	"1996"	"12"				"1"	"1"						
"60803060"	"1996"	"12"				"1"	"1"						
"60803300"	"1996"	"12"				"1"	"1"						
"60812300"	"1997"	"5"				"1"	"1"						
"61004000"	"1950"	"11"	"1"					"1"					"1"
"61500500"	"1956"	"6"	"1"						"1"				
"61501400"	"1926"	"6"	"1"				"1"						
"61501520"	"1954"	"7"				"1"			"1"				"1"
"61501525"	"1954"	"7"				"1"			"1"				"1"
"61501530"	"1954"	"7"				"1"			"1"				"1"
"61501535"	"1954"	"7"				"1"			"1"				"1"
"61501540"	"1954"	"7"				"1"			"1"				"1"
"61501545"	"1954"	"7"				"1"			"1"				"1"
"61501550"	"1954"	"7"				"1"			"1"				"1"
"61501560"	"1954"	"7"				"1"			"1"				"1"
"61501580"	"1954"	"7"				"1"	"1"						"1"
"61501600"	"1952"	"7"	"1"								"1"		"1"
"61501601"	"1952"	"7"	"1"								"1"		"1"
"61503200"	"1935"	"8"	"1"						"1"				
"61503801"	"1952"	"5"	"1"						"1"				"1"
"61505001"	"1980"	"3"	"1"						"1"				
"61505401"	"1979"	"5"	"1"						"1"				
"61505901"	"1947"	"12"	"1"						"1"				"1"
"61506200"	"1956"	"6"	"1"						"1"				
"61506500"	"1954"	"6"	"1"						"1"				"1"
"61506600"	"1967"	"3"	"1"						"1"				"1"
"61507700"	"1952"	"4"	"1"						"1"				"1"
"61508001"	"1956"	"6"	"1"						"1"				"1"
"61508300"	"1951"	"7"	"1"						"1"				"1"
"61508400"	"1924"	"10"	"1"						"1"				"1"
"61509101"	"1978"	"3"	"1"						"1"				
"61509500"	"1953"	"1"	"1"						"1"				
"61509900"	"1951"	"5"	"1"						"1"				"1"
"61511000"	"1951"	"5"	"1"						"1"				"1"
"61511900"	"1930"	"7"	"1"						"1"				"1"
"61512100"	"2015"	"1"				"1"			"1"				
"61705020"	"1953"	"3"	"1"					"1"					"1"
"61705025"	"1951"	"7"	"1"								"1"		
"61705031"	"1984"	"4"	"1"					"1"					
"61705032"	"1955"	"5"	"1"					"1"					"1"
"61705033"	"1966"	"4"	"1"					"1"					
"61705034"	"1966"	"4"	"1"					"1"					
"61705035"	"1966"	"4"	"1"					"1"					
"61705036"	"1966"	"4"	"1"					"1"					
"61801600"	"1984"	"4"	"1"				"1"						
"61801760"	"1978"	"1"	"1"				"1"						
"61801775"	"2005"	"5"	"1"				"1"						
"61801780"	"2015"	"1"				"1"		"1"					
"61801800"	"1955"	"1"	"1"					"1"					
"61801810"	"1969"	"1"				"1"		"1"					
"61801820"	"1969"	"1"				"1"		"1"					
