"STCD"	"ZGSW"	"ZGSWSJ"	"ZDSW"	"ZDSWSJ"	"SCHG"	"PJTS"
"60107411"	"84.95"	"1977.7.18"	"70.95"	"1999.3.24"		
"60107700"	"47.77"	"1998.08.17"	"32.93"	"2003.2.9"		
"60107800"					"设施齐全，长期河干"	"365"
"60107810"					"设施齐全，长期河干"	"365"
"60107820"					"设施齐全，长期河干"	"365"
"60107830"					"设施齐全，长期河干"	"365"
"60107840"					"设施齐全，长期河干"	"365"
"60107850"					"设施齐全，长期河干"	"365"
"60108100"	"45.4"	"1998.8.17"	"31.22"	"2003.2.10"		
"60108200"					"设施齐全，长期河干"	"365"
"60108210"					"设施齐全，长期河干"	"365"
"60108220"					"设施齐全，长期河干"	"365"
"60108230"					"设施齐全，长期河干"	"365"
"60108240"					"设施齐全，长期河干"	"365"
"60108250"					"设施齐全，长期河干"	"365"
"60108260"					"设施齐全，长期河干"	"365"
"60108270"					"设施齐全，长期河干"	"365"
"60108280"					"设施齐全，长期河干"	"365"
"60108330"					"设施齐全，长期河干"	"365"
"60108900"	"42"	"1998.8.17"	"27.93"	"1999.3.14"		
"60109000"					"设施齐全，长期河干"	"365"
"60109100"	"41.14"	"1998.8.17"	"26.37"	"1999.3.14"		
"60109120"					"设施齐全，长期河干"	"365"
"60109130"					"设施齐全，长期河干"	"365"
"60109140"					"设施齐全，长期河干"	"365"
"60109150"					"设施齐全，长期河干"	"365"
"60109160"					"设施齐全，长期河干"	"365"
"60109170"					"设施齐全，长期河干"	"365"
"60109180"					"设施齐全，长期河干"	"365"
"60109190"					"设施齐全，长期河干"	"365"
"60109400"	"40.94"	"1998.8.17"	"24.5"	"2007.1.11"		
"60110100"	"40"	"1998.8.17"	"24.51"	"1999.3.15"		
"60110200"					"设施齐全，长期河干"	"365"
"60110210"					"设施齐全，长期河干"	"365"
"60110220"					"设施齐全，长期河干"	"365"
"60110230"					"设施齐全，长期河干"	"365"
"60110960"	"34.89"	"2012.7.31"	"22.53"	"2006.2.8"		
"60111200"	"35.8"	"1998.8.20"	"17.07"	"1937.1.16"		
"60111305"						
"60111700"	"33.14"	"1998.8.20"	"14.06"	"1961.2.4"		
"60112195"						
"60112205"						
"60112900"	"26.39"	"1954.8.19"	"8.68"	"1961.2.4"		
"60113205"	"23.88"	"1998.8.2"				
"60113900"	"21.46"	"1998.8.1"	"5.32"	"1961.2.3"		
"60114700"	"18.74"	"1954.8.1"	"3.56"	"1929.1.20"		
"60116800"	"6.08"	"2005.8.7"	"0.8"	"2007.1.8"		
"60117500"	"5.72"	"2005.8.7"	"0.72"	"2007.1.8"		
"60117520"	"6.42"	"1997.8.19"	"0.45"	"1990.12.1"		
"60117540"	"6.94"	"1997.8.19"	"0.93"	"1988.1.6"		
"60117560"	"5.63"	"2000.8.31"	"0.04"	"1990.12.3"		
"60117830"	"5.83"	"2010.8.11"	"0.02"	"2011.4.19"		
"60117840"	"6.25"	"1997.8.18"	"0.78"	"2006.3.29"		
"60151515"					"设施齐全，长期河干"	"365"
"60510500"	"179.09"	"2012.7.24"	"155.39"	"2011.5.7"		
"60511250"	"177.43"	"2012.7.24"	"153.51"	"2011.6.5"		
"60511290"	"174.67"	"2012.7.24"	"148.44"	"2011.6.11"		
"60511350"	"174.01"	"2011.11.07"	"144.62"	"2013.6.20"		
"60511610"	"173.89"	"2011.11.07"	"131.96"	"2003.02.08"		
"60512500"	"173.79"	"2011.11.07"	"163.35"	"2008.10.19"		
"60512850"	"173.7"	"2011.11.7"	"94.03"	"2003.1.12"		
"60512900"	"173.64"	"2011.11.7"	"92.79"	"2003.5.3"		
"60513300"	"173.69"	"2011.11.7"	"93.8"	"2003.2.28"		
"60513500"	"175.13"	"2010.11.02"	"87.05"	"2003.05.11"		
"60513900"	"169.53"	"2011.11.7"	"136.86"	"1958.2.15"		
"60513910"	"175.08"	"2010.11.08"	"74.28"	"2003.04.16"		
"60514070"	"175.06"	"2010.11.02"	"73.17"	"2003.04.15"		
"60514310"						
"60514390"						
"60519030"	"100.82"	"1996.07.04"	"95.39"	"2007.02.02"		
"60703700"	"193.75"	"2011.9.20"	"170.15"	"2011.2.12"		
"60703800"	"196.66"	"2010.7.20"	"166.86"	"2010.3.25"		
"60704000"	"187.7"	"2010.7.19"	"161.5"	"2007.2.26"		
"60704010"	"186.16"	"2012.7.24"	"157.89"	"1998.3.25"		
"60803005"	"182.32"	"2010.07.10"	"153.64"	"2011.09.01"		
"60803006"	"181.57"	"2010.07.10"	"152.67"	"2011.07.17"		
"60803010"	"177.74"	"2010.07.10"	"152.22"	"2013.08.25"		
"60803011"	"177.69"	"2010.07.10"	"151.12"	"2011.08.21"		
"60803050"	"174.02"	"2011.11.07"	"140.87"	"1999.02.25"		
"60803060"	"174.02"	"2011.11.07"	"137.95"	"1999.02.27"		
"60803300"	"174.14"	"2011.11.07"	"136.14"	"1998.02.12"		
"60812300"	"209.68"	"1999.06.30"	"177.61"	"2010.03.09"		
"61004000"	"84.95"	"1977.7.18"	"70.95"	"1999.3.24"		
"61500500"	"42.67"	"1998.7.24"	"29.13"	"2006.2.23"		
"61501400"	"43.35"	"1998.8.17"				
"61501520"					"设施齐全，长期河干"	"365"
"61501525"					"设施齐全，长期河干"	"365"
"61501530"					"设施齐全，长期河干"	"365"
"61501535"					"设施齐全，长期河干"	"365"
"61501540"					"设施齐全，长期河干"	"365"
"61501545"					"设施齐全，长期河干"	"365"
"61501550"					"设施齐全，长期河干"	"365"
"61501560"					"设施齐全，长期河干"	"365"
"61501580"					"设施齐全，长期河干"	"365"
"61501600"	"41.16"	"1998.7.25"	"9999"	"2004.5.1"		
"61501601"	"41.04"	"1998.7.25"				
"61503200"	"36.27"	"1998.8.20"	"25.15"	"1952.1.21"		
"61503801"	"40.05"	"1998.7.24"				
"61505001"	"43.19"	"1998.7.24"				
"61505401"	"40.9"	"1998.7.24"				
"61505901"	"39.34"	"1998.7.25"				
"61506200"	"38.15"	"1996.7.21"	"27.66"	"1996.3.9"		
"61506500"	"40.57"	"1996.7.19"	"28.42"	"1998.12.17"		
"61506600"	"38.79"	"1996.7.20"	"27.97"	"1992.12.6"		
"61507700"	"37.98"	"1996.7.21"	"27.89"	"2010.3.2"		
"61508001"	"36.73"	"1996.7.22"				
"61508300"	"37.27"	"1996.7.22"	"25.5"	"2003.12.11"		
"61508400"	"37.09"	"1996.7.21"	"27.89"	"1992.12.24"		
"61509101"	"36.59"	"1996.7.22"				
"61509500"	"36.74"	"1996.7.21"	"26.48"	"1992.12.24"		
"61509900"	"36.54"	"1996.7.22"	"20.97"	"2004.2.1"		
"61511000"	"36.14"	"1998.8.20"	"18.05"	"1963.2.7"		
"61511900"	"36.06"	"1998.8.20"	"17.06"	"1937.1.17"		
"61512100"						
"61705020"						
"61705025"						
"61705031"						
"61705032"						
"61705033"						
"61705034"						
"61705035"						
"61705036"						
"61801600"	"195.28"	"2005.10.03"	"173.11"	"2011.04.07"		
"61801760"	"188.37"	"2005.10.03"	"162.58"	"2011.04.17"		
"61801775"	"181.06"	"2005.10.03"	"159.94"	"2013.11.16"		
"61801780"						
"61801800"	"179.09"	"1983.08.01"	"156.2"	"1997.09.13"		
"61801810"						
"61801820"						
"61801830"	"171.26"	"2005.10.03"	"151"	"1997.09.28"		
"61801840"	"169.12"	"2005.10.03"	"148.69"	"1979.01.30"		
"61801850"	"167.91"	"1983.08.01"	"144.9"	"2002.02.16"		
"61801870"	"163.42"	"1983.10.06"	"140.98"	"1978.02.27"		
"61801880"	"163.02"	"1983.10.06"	"141.52"	"2004.07.14"		
"61802000"						
"61802100"						
"61802200"	"161.42"	"1983.10.06"	"136.3"	"2000.05.16"		
"61802260"						
"61802300"						
"61802310"						
"61802350"						
"61802450"						
"61802500"	"160.07"	"1983.10.07"	"115.22"	"1968.06.28"		
"61802555"						
"61802565"						
"61802575"						
"61802600"	"98.22"	"1958.07.07"	"87.89"	"1991.12.15"		
"61802900"	"94.24"	"2005.10.03"	"88.24"	"2011.11.02"		
"61803000"	"89.63"	"1958.07.07"	"81.8"	"1980.03.01"		
"61803200"	"76.49"	"1983.10.07"	"68.04"	"1998.02.03"		
"61803300"	"69.19"	"2005.10.03"	"61.48"	"2008.03.17"		
"61803500"	"61.45"	"1935.07.07"	"50.88"	"2008.03.17"		
"61803600"	"54.03"	"1983.10.08"	"44.67"	"2008.03.18"		
"61804111"	"47.56"	"1983.10.8"	"36.7"	"2008.3.10"		
"61804210"	"44.5"	"1983.10.10"	"31.9"	"1958.3.19"		
"61804300"	"42.64"	"1964.10.9"	"28.11"	"2000.5.18"		
"61804400"	"40.58"	"1983.10.10"	"25.93"	"2000.5.19"		
"61804705"						
"61804709"						
"61812200"						
"61902590"						
"61909390"						
"62001910"						
"62001920"						
"62001925"						
"62001935"						
"62008260"						
"62008265"						
"62008270"						
"62008275"						
"62011700"						
"62011900"	"82.39"	"2010.07.25"	"74.04"	"2013.10.29"		
"62016500"	"88.46"	"2008.07.23"	"78.83"	"2013.10.07"		
