"STNM"	"STCD"	"BSHNNM"	"HNNM"	"HL"	"DRAR"	"NT"
"杨柳潭"	"61509500"	"F"	"FE"	"南洞庭湖"		
"包公庙"	"61509809"	"F"	"FE"	"湘江（西支）"		"资料不全（每年仅测12次流量，同期观测水位）"
"营田"	"61509900"	"F"	"FE"	"横岭湖"		
"荷叶湖(青港)"	"61510000"	"F"	"FE"	"荷叶湖"		"资料不全（每年仅测12次流量，同期观测水位）"
"鹿角(二)"	"61511000"	"F"	"FE"	"东洞庭湖"		
"岳阳"	"61511900"	"F"	"FE"	"洞庭湖湖口"		
"城陵矶(七里山)"	"61512000"	"F"	"FE"	"洞庭湖湖口"		
"梅田湖"	"61512100"	"F"	"FE"	"藕池河(东支)"		
"崇阳(二)"	"61703000"	"F"	"F0"	"陆水"	"2200"	
"陆水(坝上)"	"61705000"	"F"	"F0"	"陆水"	"3271"	
"陆水水库(坝下)"	"61705020"	"F"	"F0"	"陆水"		
"陆水水库(蒲圻)"	"61705023"	"F"	"F0"	"陆水"	"3450"	"资料不全"
"车埠"	"61705025"	"F"	"F0"	"陆水"		
"陆水水库(石坑)"	"61705031"	"F"	"F0"	"陆水"		
"陆水水库(洪下)"	"61705032"	"F"	"F0"	"陆水"		
"陆水水库(白云潭)"	"61705033"	"F"	"F0"	"陆水"		
"陆水水库(浪口)"	"61705034"	"F"	"F0"	"陆水"		
"陆水水库(毛家桥)"	"61705035"	"F"	"F0"	"陆水"		
"陆水水库(小港)"	"61705036"	"F"	"F0"	"陆水"		
"陆水水库(南渠)"	"61705041"	"F"	"F0"	"陆水"		"资料不全"
"陆水水库(北渠)"	"61705042"	"F"	"F0"	"陆水"		"资料不全"
"毛家桥(二)"	"61709000"	"F"	"F0"	"陆水"	"357"	
"大王沟"	"61801600"	"F"	"FF"	"汉江"		
"将军河（二）"	"61801760"	"F"	"FF"	"汉江"		
"胡家咀"	"61801775"	"F"	"FF"	"汉江"		
"西峰嘴"	"61801780"	"F"	"FF"	"汉江"		
"天河口"	"61801800"	"F"	"FF"	"汉江"		
"桐家窝子"	"61801810"	"F"	"FF"	"汉江"		
"晏家棚"	"61801820"	"F"	"FF"	"汉江"		
"安城沟（二）"	"61801830"	"F"	"FF"	"汉江"		
"灵牌石"	"61801840"	"F"	"FF"	"汉江"		
"王家湾"	"61801850"	"F"	"FF"	"汉江"		
"西流"	"61801870"	"F"	"FF"	"汉江"		
"辽瓦"	"61801880"	"F"	"FF"	"汉江"		
"蛤蟆口"	"61802000"	"F"	"FF"	"汉江"		
"耿家桠"	"61802100"	"F"	"FF"	"汉江"		
"郧县（新码头）"	"61802200"	"F"	"FF"	"汉江"		
"神定河口"	"61802260"	"F"	"FF"	"汉江"		
"龙口"	"61802300"	"F"	"FF"	"汉江"		
"尖滩坪"	"61802310"	"F"	"FF"	"汉江"		
"石灰窑"	"61802350"	"F"	"FF"	"汉江"		
"王家沟口"	"61802450"	"F"	"FF"	"汉江"		
"龙王庙"	"61802500"	"F"	"FF"	"汉江"		
"崔家河"	"61802555"	"F"	"FF"	"汉江"		
"邓家湾"	"61802565"	"F"	"FF"	"汉江"		
"远河口"	"61802575"	"F"	"FF"	"汉江"		
"王家营（三）"	"61802600"	"F"	"FF"	"汉江"		
"沈湾 "	"61802900"	"F"	"FF"	"汉江"		
"老河口"	"61803000"	"F"	"FF"	"汉江"		
"庙岗"	"61803200"	"F"	"FF"	"汉江"		
"白家湾"	"61803300"	"F"	"FF"	"汉江"		
"宜城"	"61803500"	"F"	"FF"	"汉江"		
"转斗湾"	"61803600"	"F"	"FF"	"汉江"		
"大同"	"61804111"	"F"	"FF"	"汉江"		
"沙洋（三）"	"61804210"	"F"	"FF"	"汉江"		
"泽口"	"61804300"	"F"	"FF"	"汉江"		
"岳口(邱家巷)"	"61804400"	"F"	"FF"	"汉江"		
"杜家台（坝上）"	"61804705"	"F"	"FF"	"汉江"		
"石剅"	"61804709"	"F"	"FF"	"汉江"		
"白柳"	"61812200"	"F"	"FF"	"旬河"		
"马家沟"	"61902590"	"F"	"FF"	"堵河"		
"洞山寺站"	"61909390"	"F"	"FF"	"北河"		
"申明铺"	"62001910"	"F"	"FF"	"丹江"		
"单岗"	"62001920"	"F"	"FF"	"丹江"		
"高营"	"62001925"	"F"	"FF"	"丹江"		
"巡路口"	"62001935"	"F"	"FF"	"丹江"		
"蛮子营"	"62008260"	"F"	"FF"	"老鹳河"		
"魏营"	"62008265"	"F"	"FF"	"老鹳河"		
"赵营"	"62008270"	"F"	"FF"	"老鹳河"		
"田坎"	"62008275"	"F"	"FF"	"老鹳河"		
"窑沟"	"62011700"	"F"	"FF"	"丹江"		
"白湾"	"62011900"	"F"	"FF"	"白河"		
"柴湾"	"62016500"	"F"	"FF"	"唐河"		
